['pardiso', 'sh13', 'Normal', 44, 556, 740, 72, 526508L]
['pardiso', 'sh14', 'Normal', 10, 64, 77, 10, 2774028L]
['pardiso', 'sh15', 'Normal', 11, 55, 70, 12, 174780L]
['pardiso', 'tu01', 'Normal', 10, 29, 39, 10, 281164L]
['pardiso', 'tu02', 'Normal', 10, 80, 90, 10, 282660L]
['pardiso', 'tu03', 'Normal', 11, 88, 103, 13, 562840L]
['skyline', 'co01', 'Normal', 10, 20, 30, 10, 6108L]
['skyline', 'co02', 'Normal', 6, 31, 44, 7, 62820L]
['skyline', 'co04', 'Normal', 40, 339, 434, 46, 1833140L]
['skyline', 'co07', 'Normal', 40, 197, 331, 197, 4763220L]
['skyline', 'co08', 'Normal', 12, 105, 190, 18, 61924L]
['skyline', 'co09', 'Normal', 11, 71, 118, 13, 442108L]
['skyline', 'co11', 'Normal', 26, 311, 470, 59, 2744716L]
['skyline', 'co12', 'Normal', 26, 311, 470, 59, 2744716L]
['skyline', 'co13', 'Normal', 51, 217, 324, 53, 4869712L]
['skyline', 'co15', 'Normal', 51, 389, 554, 56, 4869712L]
['skyline', 'co16', 'Normal', 50, 463, 755, 64, 26428L]
['skyline', 'co17', 'Normal', 50, 73, 123, 50, 507484L]
['skyline', 'co18', 'Normal', 100, 934, 1544, 106, 51828L]
['skyline', 'co19', 'Normal', 75, 469, 780, 75, 1408284L]
['skyline', 'co20', 'Normal', 53, 672, 1118, 83, 5054296L]
['skyline', 'co21', 'Normal', 56, 554, 765, 64, 5240644L]
['skyline', 'co22', 'Normal', 10, 131, 178, 15, 1213148L]
['skyline', 'co24', 'Normal', 62, 407, 615, 72, 3530428L]
['skyline', 'co25', 'Normal', 10, 48, 65, 10, 112140L]
['skyline', 'co26', 'Normal', 10, 30, 40, 10, 41460L]
['skyline', 'co27', 'Normal', 24, 134, 160, 24, 2351348L]
['skyline', 'co29', 'Normal', 101, 417, 546, 418, 2792716L]
['skyline', 'co30', 'Normal', 50, 405, 455, 66, 7884976L]
['skyline', 'co31', 'Normal', 24, 185, 257, 185, 259860L]
['skyline', 'co33', 'Normal', 50, 217, 337, 52, 47708428L]
['skyline', 'co35', 'Normal', 10, 30, 40, 30, 103820L]
['skyline', 'di01', 'Normal', 10, 30, 40, 10, 1940L]
['skyline', 'di02', 'Normal', 10, 51, 61, 10, 13580L]
['skyline', 'di03', 'Normal', 50, 287, 346, 54, 241132L]
['skyline', 'dy01', 'Normal', 10, 10, 20, 10, 3908L]
['skyline', 'dy02', 'Normal', 167, 489, 656, 167, 1525468L]
['skyline', 'dy03', 'Normal', 41, 189, 301, 66, 4641208L]
['skyline', 'dy04', 'Normal', 50, 280, 431, 77, 3451852L]
['skyline', 'dy05', 'Normal', 10, 10, 20, 10, 3908L]
['skyline', 'dy07', 'Normal', 100, 200, 300, 100, 476372L]
['skyline', 'dy09', 'Normal', 100, 343, 492, 101, 24327316L]
['skyline', 'fi01', 'Normal', 10, 39, 49, 10, 10076L]
['skyline', 'fi02', 'Normal', 10, 55, 65, 10, 1796L]
['skyline', 'fi03', 'Normal', 50, 1038, 1861, 56, 6916L]
['skyline', 'fi04', 'Normal', 10, 30, 40, 10, 535964L]
['skyline', 'fi05', 'Normal', 10, 30, 40, 10, 535964L]
['skyline', 'fi06', 'Normal', 10, 30, 40, 10, 535964L]
['skyline', 'fi07', 'Normal', 10, 32, 42, 10, 535964L]
['skyline', 'fi08', 'Normal', 10, 30, 40, 10, 535964L]
