File,Solver,Equations,Specified Time Steps,Steps Completed,Equil Iter,RH Eval,Stiff Reform,Plt Size,Termination
co08.feb,superlu,212,10,12,105,190,18,61924,Normal
co09.feb,superlu,1924,10,11,71,118,13,442108,Normal
co11.feb,superlu,751,50,26,311,470,59,2744716,Normal
co12.feb,superlu,751,50,26,311,470,59,2744716,Normal
co13.feb,superlu,5473,50,51,217,324,53,4869712,Normal
co15.feb,superlu,5568,50,51,389,554,56,4869712,Normal
co16.feb,superlu,32,50,50,459,745,62,26428,Normal
co17.feb,superlu,612,50,50,73,123,50,507484,Normal
co18.feb,superlu,20,100,100,934,1544,106,51828,Normal
co19.feb,superlu,1006,75,75,469,780,75,1408284,Normal
co20.feb,superlu,5568,50,55,1005,1933,129,5238880,Normal
co21.feb,superlu,4191,40,56,554,765,64,5240644,Normal
co22.feb,superlu,4882,10,10,125,165,14,1213148,Normal
co24.feb,superlu,2781,62,62,424,656,73,3530428,Normal
co25.feb,superlu,566,10,10,48,65,10,112140,Normal
co26.feb,superlu,246,10,10,30,40,10,41460,Normal
co27.feb,superlu,2274,60,24,134,160,24,2351348,Normal
co29.feb,superlu,1221,100,101,417,546,418,2792716,Normal
co30.feb,superlu,3457,50,50,405,455,66,7884976,Normal
co31.feb,superlu,462,24,24,185,257,185,259860,Normal
co32.feb,superlu,600,20,20,80,100,80,322996,Normal
co33.feb,superlu,50332,50,50,217,337,52,47708428,Normal
co34.feb,superlu,3233,20,20,50,70,50,1601140,Normal
co35.feb,superlu,468,10,10,30,40,30,103820,Normal
di01.feb,superlu,16,10,10,30,40,10,1940,Normal
di02.feb,superlu,117,10,10,51,61,10,13580,Normal
di03.feb,superlu,540,50,50,287,346,54,241132,Normal
dy01.feb,superlu,24,10,10,10,20,10,3908,Normal
dy02.feb,superlu,540,84,167,489,656,167,1525468,Normal
dy03.feb,superlu,4953,30,41,189,301,66,4641208,Normal
dy04.feb,superlu,3102,40,50,280,431,77,3451852,Normal
dy05.feb,superlu,6,10,10,10,20,10,3908,Normal
dy07.feb,superlu,279,100,100,200,300,100,476372,Normal
dy09.feb,superlu,11904,100,100,343,492,101,24327316,Normal
fi01.feb,superlu,84,10,10,39,49,10,10076,Normal
fi02.feb,superlu,12,10,10,55,65,10,1796,Normal
fi03.feb,superlu,12,50,50,1037,1860,56,6916,Normal
fi04.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi05.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi06.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi07.feb,superlu,3630,10,10,32,42,10,535964,Normal
fi08.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi09.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi10.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi11.feb,superlu,3630,10,10,41,51,10,535964,Normal
fi12.feb,superlu,3630,10,10,30,40,10,535964,Normal
fi13.feb,superlu,3630,10,10,35,45,10,535964,Normal
mi01.feb,superlu,12,10,10,52,70,10,1796,Normal
mi02.feb,superlu,2157,10,10,58,68,10,281164,Normal
mi03.feb,superlu,12,50,50,125,179,125,6916,Normal
mi04.feb,superlu,9,10,10,31,41,10,1796,Normal
mi05.feb,superlu,28,10,10,50,60,10,2716,Normal
mi06.feb,superlu,598,10,10,30,40,30,69548,Normal
mi09.feb,superlu,550,10,13,68,81,13,26428,Normal
mi11.feb,superlu,550,10,12,101,129,14,89308,Normal
mi13.feb,superlu,12,10,10,20,30,10,1796,Normal
